"","X","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","E","F","species","max_grad","version","RunTime","hessian","ID","SSB_MSY_re","TotYield_MSY_re","SSB_Unfished_re","depletion_re","params_on_bound_re","NatM_p_1_Fem_GP_1_re","L_at_Amin_Fem_GP_1_re","L_at_Amax_Fem_GP_1_re","VonBert_K_Fem_GP_1_re","CV_young_Fem_GP_1_re","CV_old_Fem_GP_1_re","Wtlen_1_Fem_re","Wtlen_2_Fem_re","Mat50._Fem_re","Mat_slope_Fem_re","Eggs.kg_inter_Fem_re","Eggs.kg_slope_wt_Fem_re","RecrDist_GP_1_re","RecrDist_Area_1_re","RecrDist_Seas_1_re","CohortGrowDev_re","SR_LN_R0_re","SR_BH_steep_re","SR_sigmaR_re","SR_envlink_re","SR_R1_offset_re","SR_autocorr_re","InitF_1Fishery_re","LnQ_base_1_Fishery_re","LnQ_base_2_Survey_re","LnQ_base_3_CPUE_re","AgeSel_1P_1_Fishery_re","AgeSel_1P_2_Fishery_re","AgeSel_1P_3_Fishery_re","AgeSel_1P_4_Fishery_re","AgeSel_1P_5_Fishery_re","AgeSel_1P_6_Fishery_re","AgeSel_2P_1_Survey_re","AgeSel_2P_2_Survey_re","AgeSel_2P_3_Survey_re","AgeSel_2P_4_Survey_re","AgeSel_2P_5_Survey_re","AgeSel_2P_6_Survey_re","Catch_endyear_re"
"1",1,1.408e+09,170594000,4082630000,0.421468514168563,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,127402000,2922.93,7.37672e-07,0,-41.8454,NA,NA,757.283,2206.32,NA,NA,NA,NA,NA,0.920595,0,0,0,0,0,1569820000,188623000,4550340000,0.388349002492121,0,0.2,20.7294,133.003,0.194264,0.108427,0.098803,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.807,0.65,0.4,0,0,0,0,0,-0.0234598,0,2.65605,-1,-0.0589834,15,-999,-999,2.35426,-1,-0.0736501,15,-999,-999,127402000,918.039,5.00545e-13,0,-113.565,NA,NA,520.34,579.258,NA,NA,NA,NA,NA,-68.0722,0,0.0758513,0.00151703,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",1,"D100","E0","F1","cod",0.0196266,"#V3.24O",0.516666666666667,FALSE,"D100-E0-F1-cod-1",0.114928977272727,0.105683670000117,0.11456095703015,-0.0785812238946896,NA,0,0.0364699999999999,0.00759848484848474,-0.0286800000000001,0.0842699999999999,-0.01197,0,0,0,0,0,NA,NA,NA,NA,0,0.0057219251336898,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.0162777777777778,0,-Inf,0,0,0,-0.0190583333333333,0,-Inf,0,0,0,0
"2",2,1.408e+09,170594000,4082630000,0.410860156320803,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,124420000,2909.61,9.9272e-07,0,-41.8454,NA,NA,754.636,2195.84,NA,NA,NA,NA,NA,0.736827,0,0,0,0,0,1538640000,187188000,4462970000,0.375973847012191,0,0.2,19.8801,131.616,0.20235,0.113097,0.0996869,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7859,0.65,0.4,0,0,0,0,0,-0.00768037,0,2.6873,-1,-0.0105838,15,-999,-999,2.35774,-1,-0.0265555,15,-999,-999,124420000,868.599,5.46217e-13,0,-111.385,NA,NA,479.786,568.753,NA,NA,NA,NA,NA,-68.6305,0,0.0745451,0.0014909,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",2,"D100","E0","F1","cod",0.204544,"#V3.24O",0.5,FALSE,"D100-E0-F1-cod-2",0.0927840909090909,0.0972718852949107,0.0931605362229739,-0.0849104221276022,NA,0,-0.00599500000000006,-0.0029090909090908,0.01175,0.13097,-0.00313100000000011,0,0,0,0,0,NA,NA,NA,NA,0,0.00459358288770066,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.00470370370370376,0,-Inf,0,0,0,-0.0176083333333332,0,-Inf,0,0,0,0
"3",3,1.408e+09,170594000,4082630000,0.4219828884812,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,127824000,2919.57,8.66606e-07,0,-41.8454,NA,NA,756.558,2203.62,NA,NA,NA,NA,NA,0.985471,0,0,0,0,0,1528410000,188676000,4443440000,0.384267594476352,0,0.2,19.9786,129.521,0.204767,0.158374,0.107224,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.8055,0.65,0.4,0,0,0,0,0,-0.00394041,0,2.71313,-1,0.0165757,15,-999,-999,2.4084,-1,0.0152518,15,-999,-999,127824000,917.606,5.6588e-13,0,-111.339,NA,NA,555.494,542.457,NA,NA,NA,NA,NA,-69.0805,0,0.0728116,0.00145623,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",3,"D100","E0","F1","cod",0.0352982,"#V3.24O",0.516666666666667,FALSE,"D100-E0-F1-cod-3",0.0855184659090909,0.105994349156477,0.0883768551154525,-0.0893763586968961,NA,0,-0.00106999999999999,-0.0187803030303031,0.023835,0.58374,0.0722399999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00564171122994648,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.00486296296296291,0,Inf,0,0,0,0.00349999999999998,0,Inf,0,0,0,0
"4",4,1.408e+09,170594000,4082630000,0.413343849430392,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,124816000,2916.08,9.04281e-07,0,-41.8454,NA,NA,755.345,2201.53,NA,NA,NA,NA,NA,0.801742,0,0,0,0,0,1536470000,184076000,4457650000,0.387623523605487,0,0.2,22.62,134.383,0.188495,0.0515067,0.0928811,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.779,0.65,0.4,0,0,0,0,0,-0.0191207,0,2.67867,-1,-0.00457309,15,-999,-999,2.38155,-1,-0.0285468,15,-999,-999,124816000,830.693,4.56932e-13,0,-112.131,NA,NA,457.727,553.972,NA,NA,NA,NA,NA,-68.9509,0,0.0742539,0.00148508,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",4,"D100","E0","F1","cod",0.0591922,"#V3.24O",0.533333333333333,FALSE,"D100-E0-F1-cod-4",0.0912428977272727,0.0790297431328183,0.0918574546309609,-0.0622250115983311,NA,0,0.131,0.0180530303030304,-0.0575250000000001,-0.484933,-0.0711890000000001,0,0,0,0,0,NA,NA,NA,NA,0,0.00422459893048132,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.00790000000000011,0,-Inf,0,0,0,-0.00768750000000003,0,-Inf,0,0,0,0
"5",5,1.408e+09,170594000,4082630000,0.411134489287543,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,124310000,2920.01,7.97918e-07,0,-41.8454,NA,NA,756.62,2204.23,NA,NA,NA,NA,NA,0.757486,0,0,0,0,0,1516990000,187359000,4406660000,0.380542179337639,0,0.2,19.2057,129.834,0.209303,0.134582,0.1003,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.784,0.65,0.4,0,0,0,0,0,0.00247777,0,2.72113,-1,0.0258925,15,-999,-999,2.37605,-1,-0.030457,15,-999,-999,124310000,919.903,6.2861e-13,0,-112.593,NA,NA,494.229,607.175,NA,NA,NA,NA,NA,-68.982,0,0.0735145,0.00147029,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",5,"D100","E0","F1","cod",0.0908923,"#V3.24O",0.5,FALSE,"D100-E0-F1-cod-5",0.0774076704545455,0.0982742652144859,0.0793679564398439,-0.0744094955471081,NA,0,-0.039715,-0.0164090909090909,0.0465149999999999,0.34582,0.00299999999999995,0,0,0,0,0,NA,NA,NA,NA,0,0.00449197860962565,0,0,NA,NA,NA,NA,NA,Inf,NA,0.00782592592592588,0,Inf,0,0,0,-0.00997916666666654,0,-Inf,0,0,0,0
"6",6,1.408e+09,170594000,4082630000,0.416910177998006,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,126022000,2917.84,8.73594e-07,0,-41.8454,NA,NA,756.002,2202.61,NA,NA,NA,NA,NA,0.821346,0,0,0,0,0,1563950000,189789000,4539650000,0.372114590331854,0,0.2,21.0384,132.316,0.197218,0.0672028,0.104907,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.8057,0.65,0.4,0,0,0,0,0,0.00724634,0,2.70521,-1,-0.0270304,15,-999,-999,2.43908,-1,0.058611,15,-999,-999,126022000,877.643,7.1163e-13,0,-114.166,NA,NA,511.183,549.36,NA,NA,NA,NA,NA,-68.8072,0,0.0724569,0.00144914,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",6,"D100","E0","F1","cod",0.0795012,"#V3.24O",0.466666666666667,FALSE,"D100-E0-F1-cod-6",0.110759943181818,0.112518611440027,0.11194254683868,-0.107446615674531,NA,0,0.05192,0.00239393939393941,-0.01391,-0.327972,0.0490699999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00565240641711242,0,0,NA,NA,NA,NA,NA,Inf,NA,0.00192962962962961,0,-Inf,0,0,0,0.0162833333333334,0,Inf,0,0,0,0
"7",7,1.408e+09,170594000,4082630000,0.408420552438012,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,123576000,2912.63,1.01728e-06,0,-41.8454,NA,NA,755.14,2198.36,NA,NA,NA,NA,NA,0.725586,0,0,0,0,0,1519930000,184916000,4404890000,0.377341999459691,0,0.2,19.0593,131.071,0.206591,0.0905766,0.102932,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.774,0.65,0.4,0,0,0,0,0,0.00224802,0,2.7089,-1,0.0335688,15,-999,-999,2.36663,-1,-0.0645273,15,-999,-999,123576000,959.736,7.72278e-13,0,-110.182,NA,NA,520.448,618.623,NA,NA,NA,NA,NA,-69.2288,0,0.0740591,0.00148118,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",7,"D100","E0","F1","cod",0.0373228,"#V3.24O",0.416666666666667,FALSE,"D100-E0-F1-cod-7",0.0794957386363636,0.0839537146675733,0.0789344123763358,-0.0760944883718553,NA,0,-0.047035,-0.0070378787878788,0.0329549999999999,-0.0942340000000001,0.0293199999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00395721925133698,0,0,NA,NA,NA,NA,NA,Inf,NA,0.00329629629629618,0,Inf,0,0,0,-0.0139041666666667,0,-Inf,0,0,0,0
"8",8,1.408e+09,170594000,4082630000,0.411969735195205,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,124657000,2916.97,8.31989e-07,0,-41.8454,NA,NA,756.298,2201.58,NA,NA,NA,NA,NA,0.687868,0,0,0,0,0,1482180000,184486000,4308690000,0.386915744692702,0,0.2,18.7158,128.574,0.212754,0.155427,0.106075,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7729,0.65,0.4,0,0,0,0,0,0.0133209,0,2.76329,-1,0.0915587,15,-999,-999,2.43594,-1,0.0441039,15,-999,-999,124657000,883.145,8.62158e-13,0,-111.761,NA,NA,497.251,565.299,NA,NA,NA,NA,NA,-67.7151,0,0.0708557,0.00141711,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",8,"D100","E0","F1","cod",0.0220504,"#V3.24O",0.45,FALSE,"D100-E0-F1-cod-8",0.0526846590909091,0.0814331101914487,0.0553711700545972,-0.0608151239329064,NA,0,-0.0642099999999999,-0.0259545454545454,0.0637699999999999,0.55427,0.06075,0,0,0,0,0,NA,NA,NA,NA,0,0.00389839572192517,0,0,NA,NA,NA,NA,NA,Inf,NA,0.0234407407407407,0,Inf,0,0,0,0.014975,0,Inf,0,0,0,0
"9",9,1.408e+09,170594000,4082630000,0.411310846194732,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,123906000,2919.7,8.05472e-07,0,-41.8454,NA,NA,756.125,2204.33,NA,NA,NA,NA,NA,0.834473,0,0,0,0,0,1546130000,187619000,4484980000,0.371491065734964,0,0.2,20.1446,133.071,0.198534,0.124704,0.090012,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7772,0.65,0.4,0,0,0,0,0,0.0178928,0,2.73933,-1,0.0679254,15,-999,-999,2.36138,-1,-0.0603053,15,-999,-999,123906000,852.146,7.78994e-13,0,-110.406,NA,NA,461.348,570.173,NA,NA,NA,NA,NA,-69.0451,0,0.0734093,0.00146819,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",9,"D100","E0","F1","cod",0.0385967,"#V3.24O",0.45,FALSE,"D100-E0-F1-cod-9",0.0981036931818182,0.09979835164191,0.0985516688997044,-0.0968118901511186,NA,0,0.00723000000000003,0.00811363636363635,-0.00733000000000011,0.24704,-0.0998800000000001,0,0,0,0,0,NA,NA,NA,NA,0,0.00412834224598937,0,0,NA,NA,NA,NA,NA,Inf,NA,0.0145666666666665,0,Inf,0,0,0,-0.0160916666666666,0,-Inf,0,0,0,0
"10",10,1.408e+09,170594000,4082630000,0.422805887381418,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,127768000,2919.35,8.70025e-07,0,-41.8454,NA,NA,756.81,2203.2,NA,NA,NA,NA,NA,0.939372,0,0,0,0,0,1544320000,186530000,4473970000,0.378896148163711,0,0.2,19.3558,131.791,0.201678,0.119471,0.101191,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7902,0.65,0.4,0,0,0,0,0,0.00649558,0,2.64264,-1,-0.0773535,15,-999,-999,2.43258,-1,0.0161442,15,-999,-999,127768000,869.169,7.19721e-13,0,-115.063,NA,NA,517.676,535.347,NA,NA,NA,NA,NA,-68.8665,0,0.0742141,0.00148428,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",10,"D100","E0","F1","cod",0.0648255,"#V3.24O",0.466666666666667,FALSE,"D100-E0-F1-cod-10",0.0968181818181818,0.0934147742593526,0.0958548778605948,-0.103853187782354,NA,0,-0.0322100000000001,-0.00158333333333336,0.00838999999999993,0.19471,0.01191,0,0,0,0,0,NA,NA,NA,NA,0,0.00482352941176467,0,0,NA,NA,NA,NA,NA,Inf,NA,-0.0212444444444445,0,-Inf,0,0,0,0.0135750000000001,0,Inf,0,0,0,0
"11",11,1.408e+09,170594000,4082630000,0.412231821154501,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,124532000,2920.65,8.02819e-07,0,-41.8454,NA,NA,756.543,2204.85,NA,NA,NA,NA,NA,0.855007,0,0,0,0,0,1515250000,188514000,4402350000,0.374379592717526,0,0.2,18.5065,127.83,0.216901,0.131627,0.115555,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7941,0.65,0.4,0,0,0,0,0,0.0114889,0,2.68269,-1,-0.0300429,15,-999,-999,2.40108,-1,0.0051837,15,-999,-999,124532000,835.86,7.27421e-13,0,-114.175,NA,NA,489.698,528.1,NA,NA,NA,NA,NA,-67.8385,0,0.0738221,0.00147644,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",11,"D100","E0","F1","cod",0.292634,"#V3.24O",0.466666666666667,FALSE,"D100-E0-F1-cod-11",0.076171875,0.105044726074774,0.0783122643981943,-0.0918226747536511,NA,0,-0.074675,-0.0315909090909091,0.084505,0.31627,0.15555,0,0,0,0,0,NA,NA,NA,NA,0,0.00503208556149738,0,0,NA,NA,NA,NA,NA,Inf,NA,-0.00641111111111117,0,-Inf,0,0,0,0.000449999999999987,0,Inf,0,0,0,0
"12",12,1.408e+09,170594000,4082630000,0.418923586021756,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,126663000,2921.93,8.38198e-07,0,-41.8454,NA,NA,757.052,2205.59,NA,NA,NA,NA,NA,0.885181,0,0,0,0,0,1539920000,187595000,4466570000,0.372249847198186,0,0.2,19.5225,131.883,0.203209,0.0916789,0.10386,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7808,0.65,0.4,0,0,0,0,0,0.0269365,0,2.7474,-1,0.0478088,15,-999,-999,2.41587,-1,-0.00522877,15,-999,-999,126663000,906.846,9.08047e-13,0,-109.819,NA,NA,502.128,582.957,NA,NA,NA,NA,NA,-68.4937,0,0.0721408,0.00144282,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cod",12,"D100","E0","F1","cod",0.202534,"#V3.24O",0.466666666666667,FALSE,"D100-E0-F1-cod-12",0.0936931818181818,0.099657666740917,0.0940423207589226,-0.111413490146974,NA,0,-0.023875,-0.000886363636363562,0.0160449999999999,-0.0832110000000001,0.0385999999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00432085561497326,0,0,NA,NA,NA,NA,NA,Inf,NA,0.0175555555555554,0,Inf,0,0,0,0.00661250000000002,0,-Inf,0,0,0,0
