"","X","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","E","F","species","max_grad","version","RunTime","hessian","ID","SSB_MSY_re","TotYield_MSY_re","SSB_Unfished_re","depletion_re","params_on_bound_re","NatM_p_1_Fem_GP_1_re","L_at_Amin_Fem_GP_1_re","L_at_Amax_Fem_GP_1_re","VonBert_K_Fem_GP_1_re","CV_young_Fem_GP_1_re","CV_old_Fem_GP_1_re","Wtlen_1_Fem_re","Wtlen_2_Fem_re","Mat50._Fem_re","Mat_slope_Fem_re","Eggs.kg_inter_Fem_re","Eggs.kg_slope_wt_Fem_re","RecrDist_GP_1_re","RecrDist_Area_1_re","RecrDist_Seas_1_re","CohortGrowDev_re","SR_LN_R0_re","SR_BH_steep_re","SR_sigmaR_re","SR_envlink_re","SR_R1_offset_re","SR_autocorr_re","InitF_1Fishery_re","LnQ_base_1_Fishery_re","LnQ_base_2_Survey_re","LnQ_base_3_CPUE_re","SizeSel_1P_1_Fishery_re","SizeSel_1P_2_Fishery_re","SizeSel_1P_3_Fishery_re","SizeSel_1P_4_Fishery_re","SizeSel_1P_5_Fishery_re","SizeSel_1P_6_Fishery_re","SizeSel_2P_1_Survey_re","SizeSel_2P_2_Survey_re","SizeSel_2P_3_Survey_re","SizeSel_2P_4_Survey_re","SizeSel_2P_5_Survey_re","SizeSel_2P_6_Survey_re","Catch_endyear_re"
"1",1,1417800000,164206000,4084470000,0.384380348001087,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,117870000,831.528,1.00317e-06,0,-41.8454,NA,NA,356.006,516.308,NA,NA,NA,NA,NA,0.809811,0,0,0,0,0,1559910000,181401000,4495480000,0.357688166780855,0,0.2,19.8937,131.424,0.201986,0.0998049,0.101891,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7994,0.65,0.4,0,0,0,0,0,-0.0237276,0,51.3419,-3,5.17415,15,-999,-999,40.2856,-4,4.89994,14,-99,99,117870000,1281.15,6.06212e-13,0,-113.428,NA,NA,1109.81,354.347,NA,NA,NA,NA,NA,-69.682,0,0.0985595,0.00197119,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",1,"D100","E0","F1","cos",0.0059119,"#V3.24O",0.416666666666667,FALSE,"D100-E0-F1-cos-1",0.100232754972493,0.104716027428961,0.100627498794213,-0.0694421069106179,NA,0,-0.00531500000000005,-0.00436363636363631,0.00992999999999994,-0.00195100000000004,0.0189099999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00531550802139034,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.0106673228346458,0,0.0145392156862746,0,0,0,-0.0362296650717702,0,-0.0577038461538462,0,0,0,0
"2",2,1417800000,164206000,4084470000,0.386764990316981,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,118693000,832.831,8.03743e-07,0,-41.8454,NA,NA,356.778,516.806,NA,NA,NA,NA,NA,0.843262,0,0,0,0,0,1549630000,179070000,4461790000,0.351580867768317,0,0.2,19.9835,132.185,0.200643,0.0993952,0.0980926,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7823,0.65,0.4,0,0,0,0,0,0.00670727,0,50.1306,-3,5.03993,15,-999,-999,42.538,-4,5.37403,14,-99,99,118693000,1270.84,8.52212e-13,0,-110.338,NA,NA,1097.23,353.377,NA,NA,NA,NA,NA,-69.5263,0,0.0946746,0.00189349,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",2,"D100","E0","F1","cos",0.0630929,"#V3.24O",0.433333333333333,FALSE,"D100-E0-F1-cos-2",0.0929820849202991,0.0905204438327467,0.0923791826112078,-0.0909702879772758,NA,0,-0.000825000000000031,0.00140151515151517,0.00321499999999988,-0.00604800000000003,-0.019074,0,0,0,0,0,NA,NA,NA,NA,0,0.00440106951871658,0,0,NA,NA,NA,NA,NA,Inf,NA,-0.0131771653543306,0,-0.0117784313725489,0,0,0,0.0176555023923445,0,0.0334673076923077,0,0,0,0
"3",3,1417800000,164206000,4084470000,0.396328042561214,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,121535000,834.586,7.97213e-07,0,-41.8454,NA,NA,357.22,518.373,NA,NA,NA,NA,NA,0.588077,0,0,0,0,0,1565410000,180482000,4510530000,0.358922343937409,0,0.2,20.4789,132.294,0.194689,0.0961003,0.0985116,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8155,0.65,0.4,0,0,0,0,0,-0.012332,0,51.3752,-3,5.14619,15,-999,-999,44.2861,-4,5.7559,14,-99,99,121535000,1259.89,6.02977e-13,0,-110.855,NA,NA,1101.18,339.449,NA,NA,NA,NA,NA,-69.9741,0,0.0884584,0.00176917,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",3,"D100","E0","F1","cos",0.00221187,"#V3.24O",0.433333333333333,FALSE,"D100-E0-F1-cos-3",0.104112004514036,0.0991193988039414,0.104312187382941,-0.0943806508923162,NA,0,0.023945,0.00222727272727281,-0.0265550000000001,-0.0389970000000001,-0.014884,0,0,0,0,0,NA,NA,NA,NA,0,0.00617647058823534,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.0113228346456693,0,0.00905686274509807,0,0,0,0.0594760765550239,0,0.106903846153846,0,0,0,0
"4",4,1417800000,164206000,4084470000,0.388417591511261,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,119244000,835.733,1.02501e-06,0,-41.8454,NA,NA,357.64,518.953,NA,NA,NA,NA,NA,0.735483,0,0,0,0,0,1550180000,178655000,4464500000,0.347259491544406,0,0.2,20.231,132.271,0.197093,0.100073,0.0997894,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.795,0.65,0.4,0,0,0,0,0,0.0215012,0,50.1398,-3,5.01724,15,-999,-999,42.5459,-4,5.28765,14,-99,99,119244000,1266.49,9.8577e-13,0,-107.983,NA,NA,1066.69,376.85,NA,NA,NA,NA,NA,-69.1597,0,0.0949589,0.00189918,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",4,"D100","E0","F1","cos",0.0335267,"#V3.24O",0.45,FALSE,"D100-E0-F1-cos-4",0.0933700098744534,0.0879931305798814,0.0930426713869853,-0.10596353220439,NA,0,0.0115500000000001,0.0020530303030302,-0.0145350000000001,0.000729999999999897,-0.00210600000000005,0,0,0,0,0,NA,NA,NA,NA,0,0.00508021390374344,0,0,NA,NA,NA,NA,NA,Inf,NA,-0.0129960629921259,0,-0.0162274509803921,0,0,0,0.0178444976076556,0,0.0168557692307692,0,0,0,0
"5",5,1417800000,164206000,4084470000,0.389056597306382,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,119590000,835.66,9.4793e-07,0,-41.8454,NA,NA,357.594,518.91,NA,NA,NA,NA,NA,0.750332,0,0,0,0,0,1558370000,180811000,4491960000,0.349960818885297,0,0.2,20.0974,131.649,0.199,0.0970836,0.0997977,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8074,0.65,0.4,0,0,0,0,0,0.0110843,0,51.2452,-3,5.12492,15,-999,-999,40.6638,-4,4.87476,14,-99,99,119590000,1288.71,8.0579e-13,0,-112.892,NA,NA,1112.86,358.044,NA,NA,NA,NA,NA,-69.3982,0,0.0981095,0.00196219,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",5,"D100","E0","F1","cos",0.00901992,"#V3.24O",0.466666666666667,FALSE,"D100-E0-F1-cos-5",0.0991465651008605,0.101122979671876,0.0997656978751221,-0.100488665895304,NA,0,0.00487000000000002,-0.0026590909090909,-0.005,-0.029164,-0.00202300000000002,0,0,0,0,0,NA,NA,NA,NA,0,0.00574331550802149,0,0,NA,NA,NA,NA,NA,Inf,NA,0.00876377952755905,0,0.00488627450980406,0,0,0,-0.0271818181818181,0,-0.0625461538461538,0,0,0,0
"6",6,1417800000,164206000,4084470000,0.397561984786276,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,122019000,836.299,1.19902e-06,0,-41.8454,NA,NA,357.683,519.412,NA,NA,NA,NA,NA,0.799396,0,0,0,0,0,1552720000,179529000,4472090000,0.361656406736,0,0.2,19.7764,132.471,0.199565,0.101073,0.0990449,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7845,0.65,0.4,0,0,0,0,0,0.003164,0,50.6741,-3,5.08106,15,-999,-999,41.9217,-4,5.29121,14,-99,99,122019000,1242.48,8.44511e-13,0,-113.622,NA,NA,1074.88,350.751,NA,NA,NA,NA,NA,-69.623,0,0.0952159,0.00190432,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",6,"D100","E0","F1","cos",0.0265916,"#V3.24O",0.466666666666667,FALSE,"D100-E0-F1-cos-6",0.0951615178445479,0.0933157131895302,0.0949009296187755,-0.0903144149196718,NA,0,-0.0111800000000001,0.00356818181818185,-0.00217500000000009,0.0107299999999999,-0.009551,0,0,0,0,0,NA,NA,NA,NA,0,0.00451871657754022,0,0,NA,NA,NA,NA,NA,Inf,NA,-0.0024783464566928,0,-0.00371372549019603,0,0,0,0.00291148325358862,0,0.0175403846153847,0,0,0,0
"7",7,1417800000,164206000,4084470000,0.377664666407147,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,115846000,830.909,7.74515e-07,0,-41.8454,NA,NA,356.138,515.728,NA,NA,NA,NA,NA,0.638528,0,0,0,0,0,1512320000,175643000,4355580000,0.353128630400544,0,0.2,19.6082,131.407,0.204437,0.0998436,0.10067,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7599,0.65,0.4,0,0,0,0,0,0.000816782,0,49.8583,-3,5.01462,15,-999,-999,41.1497,-4,5.02761,14,-99,99,115846000,1337.63,8.86426e-13,0,-109.79,NA,NA,1154.87,361.671,NA,NA,NA,NA,NA,-69.224,0,0.0988824,0.00197765,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",7,"D100","E0","F1","cos",0.0323205,"#V3.24O",0.45,FALSE,"D100-E0-F1-cos-7",0.0666666666666667,0.0696503172843867,0.0663758088564734,-0.0649677827688323,NA,0,-0.01959,-0.00449242424242416,0.022185,-0.00156400000000001,0.0066999999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00320320855614968,0,0,NA,NA,NA,NA,NA,Inf,NA,-0.0185374015748031,0,-0.0167411764705882,0,0,0,-0.0155574162679424,0,-0.0331519230769231,0,0,0,0
"8",8,1417800000,164206000,4084470000,0.394386542195193,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,120927000,835.633,9.43081e-07,0,-41.8454,NA,NA,357.557,518.818,NA,NA,NA,NA,NA,0.852599,0,0,0,0,0,1546610000,180499000,4459080000,0.360601289952187,0,0.2,19.8909,130.398,0.203924,0.101017,0.103194,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8046,0.65,0.4,0,0,0,0,0,0.00186248,0,50.5536,-3,5.07958,15,-999,-999,40.6702,-4,4.96513,14,-99,99,120927000,1320.81,8.54965e-13,0,-112.795,NA,NA,1133.07,370,NA,NA,NA,NA,NA,-69.5701,0,0.0988952,0.0019779,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",8,"D100","E0","F1","cos",0.0410572,"#V3.24O",0.433333333333333,FALSE,"D100-E0-F1-cos-8",0.0908520242629426,0.0992229272986371,0.0917156938354303,-0.0856653273586722,NA,0,-0.00545500000000008,-0.0121363636363637,0.0196199999999999,0.0101699999999999,0.0319399999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00559358288770061,0,0,NA,NA,NA,NA,NA,Inf,NA,-0.00485039370078729,0,-0.00400392156862738,0,0,0,-0.0270287081339712,0,-0.0451673076923077,0,0,0,0
"9",9,1417800000,164206000,4084470000,0.391446136218408,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,120098000,834.917,1.06472e-06,0,-41.8454,NA,NA,357.209,518.542,NA,NA,NA,NA,NA,0.760995,0,0,0,0,0,1543280000,180825000,4450870000,0.36649464037368,0,0.2,19.8707,129.725,0.206261,0.0975599,0.106065,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8066,0.65,0.4,0,0,0,0,0,-0.00976879,0,50.8819,-3,5.1227,15,-999,-999,41.1587,-4,5.01579,14,-99,99,120098000,1271.35,6.35178e-13,0,-109.832,NA,NA,1106.54,343.629,NA,NA,NA,NA,NA,-69.085,0,0.0971461,0.00194292,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",9,"D100","E0","F1","cos",0.00266758,"#V3.24O",0.45,FALSE,"D100-E0-F1-cos-9",0.0885033149950628,0.101208238432213,0.0897056411235729,-0.0637418370909817,NA,0,-0.00646500000000003,-0.0172348484848485,0.0313049999999999,-0.024401,0.06065,0,0,0,0,0,NA,NA,NA,NA,0,0.0057005347593583,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.00161220472440954,0,0.00445098039215694,0,0,0,-0.0153421052631578,0,-0.035425,0,0,0,0
"10",10,1417800000,164206000,4084470000,0.386845784153146,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,118786000,832.493,9.1056e-07,0,-41.8454,NA,NA,356.547,516.791,NA,NA,NA,NA,NA,0.750721,0,0,0,0,0,1566040000,182139000,4513790000,0.34456188701734,0,0.2,19.9751,131.675,0.201336,0.102054,0.100643,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8005,0.65,0.4,0,0,0,0,0,0.00790552,0,51.3818,-3,5.16268,15,-999,-999,41.3437,-4,5.1147,14,-99,99,118786000,1265.8,8.92008e-13,0,-114.047,NA,NA,1122.57,327.298,NA,NA,NA,NA,NA,-70.1186,0,0.0956768,0.00191354,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",10,"D100","E0","F1","cos",0.000840134,"#V3.24O",0.433333333333333,FALSE,"D100-E0-F1-cos-10",0.104556354916067,0.109210382081045,0.105110332552326,-0.109304272834124,NA,0,-0.00124499999999994,-0.00246212121212113,0.00667999999999988,0.02054,0.00642999999999991,0,0,0,0,0,NA,NA,NA,NA,0,0.00537433155080215,0,0,NA,NA,NA,NA,NA,Inf,NA,0.0114527559055118,0,0.0122901960784314,0,0,0,-0.0109162679425837,0,-0.0164038461538462,0,0,0,0
"11",11,1417800000,164206000,4084470000,0.394609337319163,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,121443000,833.993,1.04859e-06,0,-41.8454,NA,NA,356.765,517.66,NA,NA,NA,NA,NA,1.16374,0,0,0,0,0,1561670000,180319000,4496670000,0.353328129482484,0,0.2,19.8804,132.93,0.199137,0.0986763,0.0955599,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7829,0.65,0.4,0,0,0,0,0,0.00650949,0,51.1294,-3,5.14092,15,-999,-999,40.9474,-4,5.01658,14,-99,99,121443000,1309.4,8.31998e-13,0,-113.809,NA,NA,1103.55,388.717,NA,NA,NA,NA,NA,-69.1558,0,0.0971877,0.00194375,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",11,"D100","E0","F1","cos",0.00411237,"#V3.24O",0.45,FALSE,"D100-E0-F1-cos-11",0.101474114825786,0.0981267432371533,0.10091884626402,-0.104612851072225,NA,0,-0.00597999999999992,0.0070454545454546,-0.00431500000000001,-0.0132370000000001,-0.044401,0,0,0,0,0,NA,NA,NA,NA,0,0.00443315508021402,0,0,NA,NA,NA,NA,NA,Inf,NA,0.00648425196850393,0,0.00802352941176485,0,0,0,-0.0203971291866028,0,-0.0352730769230769,0,0,0,0
"12",12,1417800000,164206000,4084470000,0.39984624688148,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,122626000,835.877,1.04087e-06,0,-41.8454,NA,NA,357.799,518.832,NA,NA,NA,NA,NA,0.841198,0,0,0,0,0,1572260000,182064000,4529890000,0.355436886988426,0,0.2,19.6833,133.029,0.198644,0.104219,0.092927,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7927,0.65,0.4,0,0,0,0,0,0.0108696,0,51.8377,-3,5.20412,15,-999,-999,39.5171,-4,4.662,14,-99,99,122626000,1273.92,8.9005e-13,0,-111.844,NA,NA,1101.51,354.137,NA,NA,NA,NA,NA,-69.9864,0,0.100268,0.00200537,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F1-cos",12,"D100","E0","F1","cos",0.0589873,"#V3.24O",0.45,FALSE,"D100-E0-F1-cos-12",0.108943433488503,0.108753638722093,0.109052092437942,-0.111066091627509,NA,0,-0.015835,0.00779545454545452,-0.00678000000000012,0.04219,-0.0707300000000001,0,0,0,0,0,NA,NA,NA,NA,0,0.00495721925133693,0,0,NA,NA,NA,NA,NA,Inf,NA,0.0204271653543307,0,0.0204156862745098,0,0,0,-0.0546148325358851,0,-0.103461538461539,0,0,0,0
